Medicare CCN,Projected to Receive DSH in FY 2024,IHS or PR,Rural Community Hospital Demonstration,New Hospital,2018 UCC (Annualized),Length of 2018 Reporting Period,2019 UCC (Annualized),Length of 2019 Reporting Period,2020 UCC (Annualized),Length of 2020 Reporting Period,Factor 3,Total Uncompensated Care Payment,Total Supplemental Payment,Estimated Per Claim Amount, BILLS 2021 , BILLS 2022 , Claims Average 
490113,YES,NO,NO,NO,"$28,522,093.00 ",365,"$23,020,884.00 ",365,24175848,366,0.000743555,4415235.63,N/A,1644.41,"2,746","2,623",2685
490114,YES,NO,NO,NO,"$7,868,469.00 ",365,"$4,556,781.75 ",366,2654572.09,365,0.000148042,879071.91,N/A,885.27,"1,015",970,993
490115,SCH,NO,NO,NO,"$2,005,347.00 ",365,"$1,936,112.00 ",365,984367,366,0.000048226,N/A,N/A,448.85,638,638,638
490116,YES,NO,NO,NO,"$2,576,722.00 ",365,"$1,744,347.96 ",366,2572924.85,365,0.000067813,402672.36,N/A,713.96,605,523,564
490117,YES,NO,NO,NO,"$1,513,619.00 ",365,"$922,445.00 ",365,704443,366,0.000030842,183142.6,N/A,897.76,203,204,204
490118,YES,NO,NO,NO,"$20,212,339.00 ",365,"$16,405,073.59 ",366,13263313.56,365,0.000489393,2906019.22,N/A,487.75,"6,261","5,655",5958
490119,YES,NO,NO,NO,"$15,688,598.00 ",365,"$10,610,885.00 ",365,12361973,366,0.000379997,2256423.82,N/A,596.15,"3,817","3,753",3785
490120,YES,NO,NO,NO,"$22,513,907.00 ",365,"$15,629,448.59 ",366,15335444.12,365,0.000525308,3119281.39,N/A,625.86,"5,193","4,774",4984
490122,YES,NO,NO,NO,"$18,852,437.00 ",365,"$14,102,547.00 ",365,16146951,366,0.000482437,2864714.76,N/A,1300.37,"2,279","2,126",2203
490126,SCH,NO,NO,NO,"$2,117,433.00 ",365,"$1,485,503.13 ",366,1201200.97,365,0.000047161,N/A,N/A,428.86,685,621,653
490127,SCH,NO,NO,NO,"$1,404,504.00 ",365,"$850,556.71 ",366,619456.5,365,0.000028228,N/A,N/A,673.16,270,228,249
490130,NO,NO,NO,NO,"$9,130,178.00 ",365,"$3,982,882.00 ",365,3283970,366,0.000161273,N/A,N/A,N/A, N/A , N/A , N/A 
490136,YES,NO,NO,NO,"$11,470,656.00 ",365,"$9,602,544.66 ",366,8989231.74,365,0.000295059,1752061.36,N/A,618.88,"2,855","2,806",2831
490140,YES,NO,NO,NO,"$7,082,761.00 ",365,"$7,294,457.00 ",365,5911295,366,0.000198881,1180959.6,N/A,953.93,"1,255","1,221",1238
490141,YES,NO,NO,NO,"$10,230,034.00 ",365,"$6,299,412.34 ",366,5170481,365,0.000213141,1265632.45,N/A,774.09,"1,659","1,611",1635
490143,NO,NO,NO,NO,"$3,506,702.00 ",365,"$2,826,570.00 ",365,2558384,366,0.000087272,N/A,N/A,N/A, N/A , N/A , N/A 
490144,NO,NO,NO,NO,"$2,892,665.00 ",365,"$2,724,172.00 ",365,2508267,366,0.00007971,N/A,N/A,N/A, N/A , N/A , N/A 
490145,YES,NO,NO,NO,"$3,161,035.00 ",365,"$2,781,445.00 ",365,2543006,366,0.000083263,494414.92,N/A,1121.12,406,476,441
490146,NO,NO,NO,YES,,,,,,,N/A,N/A,N/A,N/A, N/A , N/A , N/A 
500002,SCH,NO,NO,NO,"$4,627,452.00 ",365,"$5,573,014.00 ",365,4373833,366,0.00014277,N/A,N/A,380,"2,305","2,157",2231
500003,YES,NO,NO,NO,"$5,767,900.00 ",365,"$6,614,994.00 ",365,5984476,366,0.00018006,1069199.97,N/A,493.4,"2,258","2,075",2167
500005,YES,NO,NO,NO,"$9,821,264.00 ",365,"$11,933,918.00 ",365,9388576,366,0.000305078,1811556.58,N/A,403.91,"4,807","4,162",4485
500007,YES,NO,NO,NO,"$589,085.00 ",365,"$1,278,342.00 ",365,1292269,366,0.000030939,183718.13,N/A,242.37,736,780,758
500008,YES,NO,NO,NO,"$21,617,471.00 ",365,"$18,643,461.27 ",366,16814055.04,365,0.000560054,3325604.4,N/A,434.04,"7,844","7,479",7662
500011,YES,NO,NO,NO,"$8,805,443.00 ",365,"$9,142,113.11 ",366,7499687.95,365,0.000249455,1481264.84,N/A,1119.63,"1,416","1,230",1323
500014,YES,NO,NO,NO,"$19,512,036.00 ",365,"$23,115,464.00 ",365,16140234,366,0.000575462,3417098.01,N/A,604.9,"5,886","5,412",5649
500015,YES,NO,NO,NO,"$8,118,671.00 ",365,"$10,506,859.00 ",365,9158100,366,0.000272223,1616461.85,N/A,1167.96,"1,349","1,419",1384
500016,YES,NO,NO,NO,"$5,202,277.00 ",365,"$5,791,957.00 ",365,6488718,366,0.00017156,1018723.25,N/A,264.19,"3,816","3,896",3856
500019,SCH,NO,NO,NO,"$6,265,607.00 ",365,"$7,412,561.00 ",365,5420412,366,0.00018705,N/A,N/A,888.56,"1,241","1,258",1250
500021,YES,NO,NO,NO,"$5,493,445.00 ",365,"$5,291,837.81 ",366,3773944.32,365,0.000142691,847301.49,N/A,648.28,"1,342","1,272",1307
500024,YES,NO,NO,NO,"$11,813,705.00 ",365,"$12,886,538.00 ",365,10248305,366,0.000342494,2033732.18,N/A,398.77,"5,315","4,884",5100
500025,YES,NO,NO,NO,"$10,403,835.00 ",365,"$5,791,896.00 ",365,8257412,366,0.000240632,1428871.83,N/A,599.61,"2,438","2,328",2383
500026,YES,NO,NO,NO,"$8,158,445.00 ",365,"$9,020,356.00 ",365,9836618,366,0.000265076,1574024.17,N/A,823.23,"1,955","1,868",1912
500027,YES,NO,NO,NO,"$21,970,896.00 ",365,"$24,190,080.00 ",365,21754739,366,0.000665869,3953933.44,N/A,1092.25,"3,743","3,497",3620
500030,SCH,NO,NO,NO,"$16,217,361.00 ",365,"$18,658,505.81 ",366,15104278.52,365,0.000489745,N/A,N/A,654.39,"4,446","4,442",4444
